Node_ID,Solid,Node_Type,Node_Index,Position_X,Position_Y,Position_Z,CRV_Name,CRV_Value,CRV_Symbol,CRV_Type,Is_Known_Constant,Realm,Wavelength_nm,Frequency_Hz,Description
1,tetrahedron,vertex,0,0.347026,0.250000,0.850000,pi,3.141593,pi,primary_constant,True,quantum,300.0,3.142e+12,Primary mathematical constant pi
2,tetrahedron,vertex,1,0.807638,0.789801,0.810199,pi_div_phi,1.941611,pi/phi,transcendental_compound,True,quantum,300.0,1.942e+12,Pi divided by golden ratio
3,tetrahedron,vertex,2,0.763309,0.306642,0.293358,e,2.718282,e,primary_constant,True,quantum,300.0,2.718e+12,Primary mathematical constant e
4,tetrahedron,vertex,3,0.255948,0.850000,0.250000,tau,6.283185,tau,primary_constant,True,quantum,300.0,6.283e+12,Primary mathematical constant tau
5,tetrahedron,edge,0,0.363309,0.506642,0.493358,e,2.718282,e,primary_constant,True,quantum,300.0,2.718e+12,Primary mathematical constant e
6,tetrahedron,edge,1,0.724161,0.607261,0.392739,e_div_phi,1.679991,e/phi,transcendental_compound,True,quantum,300.0,1.680e+12,Euler number divided by golden ratio
7,tetrahedron,edge,2,0.307638,0.389801,0.610199,pi_div_phi,1.941611,pi/phi,transcendental_compound,True,quantum,300.0,1.942e+12,Pi divided by golden ratio
8,tetrahedron,edge,3,0.489369,0.668844,0.331156,tau_phi,19.565104,tau^phi,transcendental_compound,True,quantum,300.0,1.957e+13,Tau raised to the power of golden ratio
9,tetrahedron,edge,4,0.677694,0.532631,0.467369,zeta_3,1.202057,ζ(3),number_theory_constant,True,quantum,300.0,1.202e+12,Apéry's constant (zeta function at 3)
10,tetrahedron,edge,5,0.375723,0.320720,0.679280,catalan,0.915966,G,number_theory_constant,True,quantum,300.0,9.160e+11,Catalan's constant
11,tetrahedron,face,0,0.397026,0.000000,1.000000,pi,3.141593,pi,primary_constant,True,quantum,300.0,3.142e+12,Primary mathematical constant pi
12,tetrahedron,face,1,0.113309,0.256642,0.743358,e,2.718282,e,primary_constant,True,quantum,300.0,2.718e+12,Primary mathematical constant e
13,tetrahedron,face,2,0.571895,0.056056,0.943944,phi,1.618034,phi,primary_constant,True,quantum,300.0,1.618e+12,Primary mathematical constant phi
14,tetrahedron,face,3,0.205948,1.000000,0.000000,tau,6.283185,tau,primary_constant,True,quantum,300.0,6.283e+12,Primary mathematical constant tau
15,cube,vertex,0,0.500000,0.500000,0.716529,tau_mul_e_pi,145.397260,tau*e^pi,transcendental_compound,True,electromagnetic,550.0,7.924e+14,Tau multiplied by e raised to pi
16,cube,vertex,1,0.500000,-0.500000,0.869162,pi_e,22.459158,pi^e,transcendental_compound,True,electromagnetic,550.0,1.224e+14,Pi raised to the power of e
17,cube,vertex,2,0.500000,-0.500000,0.762793,phi_tau,20.564023,phi^tau,transcendental_compound,True,electromagnetic,550.0,1.121e+14,Golden ratio raised to the power of tau
18,cube,vertex,3,-0.500000,-0.500000,0.826021,e_phi,5.043166,e^phi,potential_new_constant,False,electromagnetic,550.0,2.749e+13,Euler number raised to the power of golden ratio
19,cube,vertex,4,0.500000,-0.500000,0.879784,tau_pi,321.777750,tau^pi,potential_new_constant,False,electromagnetic,550.0,1.754e+15,Tau raised to the power of pi
20,cube,vertex,5,0.500000,0.500000,0.725068,pi_pi,36.462159,pi^pi,potential_new_constant,False,electromagnetic,550.0,1.987e+14,Pi raised to the power of pi
21,cube,vertex,6,-0.500000,0.500000,0.876387,e_tau,535.491656,e^tau,potential_new_constant,False,electromagnetic,550.0,2.918e+15,Euler number raised to the power of tau
22,cube,vertex,7,-0.500000,-0.500000,0.764448,phi_e,3.699025,phi^e,transcendental_compound,True,electromagnetic,550.0,2.016e+13,Golden ratio raised to the power of e
23,cube,edge,0,0.688982,0.230838,0.769162,pi_e,22.459158,pi^e,transcendental_compound,True,electromagnetic,550.0,1.224e+14,Pi raised to the power of e
24,cube,edge,1,0.566211,0.983471,0.016529,tau_mul_e_pi,145.397260,tau*e^pi,transcendental_compound,True,electromagnetic,550.0,7.924e+14,Tau multiplied by e raised to pi
25,cube,edge,2,0.502580,0.037207,0.962793,phi_tau,20.564023,phi^tau,transcendental_compound,True,electromagnetic,550.0,1.121e+14,Golden ratio raised to the power of tau
26,cube,edge,3,0.177525,0.273979,0.726021,e_phi,5.043166,e^phi,potential_new_constant,False,electromagnetic,550.0,2.749e+13,Euler number raised to the power of golden ratio
27,cube,edge,4,0.683761,0.220216,0.779784,tau_pi,321.777750,tau^pi,potential_new_constant,False,electromagnetic,550.0,1.754e+15,Tau raised to the power of pi
28,cube,edge,5,0.946043,0.974932,0.025068,pi_pi,36.462159,pi^pi,potential_new_constant,False,electromagnetic,550.0,1.987e+14,Pi raised to the power of pi
29,cube,edge,6,0.063537,0.823613,0.176387,e_tau,535.491656,e^tau,potential_new_constant,False,electromagnetic,550.0,2.918e+15,Euler number raised to the power of tau
30,cube,edge,7,0.411260,0.035552,0.964448,phi_e,3.699025,phi^e,transcendental_compound,True,electromagnetic,550.0,2.016e+13,Golden ratio raised to the power of e
31,cube,edge,8,0.427694,0.282631,0.717369,zeta_3,1.202057,ζ(3),number_theory_constant,True,electromagnetic,550.0,6.551e+12,Apéry's constant (zeta function at 3)
32,cube,edge,9,0.125723,0.070720,0.929280,catalan,0.915966,G,number_theory_constant,True,electromagnetic,550.0,4.992e+12,Catalan's constant
33,cube,edge,10,0.397026,0.000000,1.000000,pi,3.141593,pi,primary_constant,True,electromagnetic,550.0,1.712e+13,Primary mathematical constant pi
34,cube,edge,11,0.113309,0.256642,0.743358,e,2.718282,e,primary_constant,True,electromagnetic,550.0,1.481e+13,Primary mathematical constant e
35,cube,face,0,0.500000,-0.500000,0.500000,pi_e,22.459158,pi^e,transcendental_compound,True,electromagnetic,550.0,1.224e+14,Pi raised to the power of e
36,cube,face,1,0.500000,0.500000,-0.500000,tau_mul_e_pi,145.397260,tau*e^pi,transcendental_compound,True,electromagnetic,550.0,7.924e+14,Tau multiplied by e raised to pi
37,cube,face,2,0.500000,-0.500000,0.500000,phi_tau,20.564023,phi^tau,transcendental_compound,True,electromagnetic,550.0,1.121e+14,Golden ratio raised to the power of tau
38,cube,face,3,-0.500000,-0.500000,0.500000,e_phi,5.043166,e^phi,potential_new_constant,False,electromagnetic,550.0,2.749e+13,Euler number raised to the power of golden ratio
39,cube,face,4,0.500000,-0.500000,0.500000,tau_pi,321.777750,tau^pi,potential_new_constant,False,electromagnetic,550.0,1.754e+15,Tau raised to the power of pi
40,cube,face,5,0.500000,0.500000,-0.500000,pi_pi,36.462159,pi^pi,potential_new_constant,False,electromagnetic,550.0,1.987e+14,Pi raised to the power of pi
41,octahedron,vertex,0,0.000000,0.000000,1.000000,catalan,0.915966,G,number_theory_constant,True,gravitational,1000.0,0.314,Catalan's constant
42,octahedron,vertex,1,0.000000,0.000000,1.000000,zeta_3,1.202057,ζ(3),number_theory_constant,True,gravitational,1000.0,0.412,Apéry's constant (zeta function at 3)
